@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute neutral numeric
@attribute smile numeric
@attribute surprise numeric

@data
752,'2017/10/21 23:24:39:097',15,353.284943,331.108704,5.615749,0.053257,0.030936,0.011173,11.27305,1.546382,6.88104,6.887018,3.490942,3.475145,23.402027,5.751212,1,0,0
753,'2017/10/21 23:24:39:210',15,353.386383,330.93457,5.623692,0.055698,0.030077,0.008964,11.256432,1.517402,6.881268,6.894862,3.540753,3.526845,23.455189,5.740253,1,0,0
754,'2017/10/21 23:24:39:282',15,353.582397,330.611084,5.623309,0.060882,0.029249,0.008813,11.249345,1.529259,6.883731,6.899356,3.509295,3.495845,23.580036,5.708356,1,0,0
755,'2017/10/21 23:24:39:380',15,353.853333,330.518402,5.620539,0.060408,0.028926,0.009932,11.234794,1.526953,6.889051,6.894021,3.530973,3.51504,23.585562,5.680307,1,0,0
756,'2017/10/21 23:24:39:447',15,354.131989,330.360931,5.618541,0.059282,0.02877,0.009408,11.248926,1.506353,6.887767,6.900751,3.478485,3.460331,23.637943,5.670569,1,0,0
757,'2017/10/21 23:24:39:533',15,354.449799,330.364014,5.607234,0.05705,0.028124,0.010984,11.29407,1.502994,7.002719,6.999325,3.388677,3.363132,23.673904,5.637738,1,0,0
758,'2017/10/21 23:24:39:598',15,354.636322,330.825287,5.571795,0.060713,0.027321,0.013803,11.396566,1.556598,7.555089,7.552962,2.87647,2.849667,23.774324,5.615653,1,0,0
759,'2017/10/21 23:24:39:664',15,354.562134,330.408081,5.581993,0.061157,0.027558,0.010075,11.301277,1.524792,7.393312,7.404433,3.001501,2.975969,23.78273,5.634741,1,0,0
760,'2017/10/21 23:24:39:764',15,354.740051,330.06427,5.589717,0.062982,0.027391,0.008342,11.270269,1.512031,7.22594,7.238253,3.149521,3.118703,23.746326,5.637671,1,0,0
761,'2017/10/21 23:24:39:832',15,355.365234,329.850067,5.598818,0.060961,0.026867,0.013834,11.307872,1.505477,7.140885,7.141178,3.252304,3.223689,23.741928,5.610733,1,0,0
762,'2017/10/21 23:24:39:932',15,356.402252,329.546112,5.603872,0.057544,0.021139,0.023678,11.322268,1.519539,6.9554,6.956498,3.240095,3.229955,23.724993,5.640924,1,0,0
763,'2017/10/21 23:24:39:998',15,356.499359,329.612274,5.601203,0.053005,0.019348,0.024736,11.327212,1.500894,6.821168,6.836502,3.363766,3.364228,23.593296,5.663029,1,0,0
764,'2017/10/21 23:24:40:097',15,356.704529,329.433441,5.606592,0.050433,0.019462,0.026155,11.329847,1.520929,6.743937,6.74983,3.409086,3.409233,23.653154,5.708663,1,0,0
765,'2017/10/21 23:24:40:163',15,356.826782,329.254669,5.605278,0.047459,0.018705,0.026289,11.322347,1.515563,6.74657,6.7528,3.333531,3.332139,23.688522,5.705111,1,0,0
766,'2017/10/21 23:24:40:296',15,356.902802,329.328796,5.598248,0.047259,0.018567,0.025849,11.399271,1.514276,6.745323,6.748418,3.374656,3.372018,23.576149,5.692605,1,0,0
767,'2017/10/21 23:24:40:333',15,357.204834,329.021637,5.610805,0.051437,0.018642,0.028491,11.376956,1.473009,6.73712,6.727258,3.418852,3.40649,23.623447,5.729088,1,0,0
768,'2017/10/21 23:24:40:397',15,357.206116,329.069,5.610879,0.048752,0.016585,0.028005,11.374542,1.510604,6.707503,6.716092,3.397565,3.397416,23.55201,5.769524,1,0,0
769,'2017/10/21 23:24:40:496',15,357.236023,329.0271,5.604941,0.047897,0.017075,0.027863,11.346234,1.490453,6.715336,6.72088,3.379248,3.37797,23.598682,5.735214,1,0,0
770,'2017/10/21 23:24:40:560',15,357.36557,328.994934,5.606231,0.046348,0.017337,0.028839,11.334829,1.512478,6.706352,6.710496,3.415198,3.413067,23.627758,5.740661,1,0,0
